url,text
https://twitter.com/davidmackau/status/950798611587174401,"Here's the incredible moment where Trump initially agrees to Feinstein's suggestion that they do a clean DACA bill, before being corrected by Republicans about what she was actually suggesting."
https://twitter.com/davidmackau/status/950798611587174401,"Here's the incredible moment where Trump initially agrees to Feinstein's suggestion that they do a clean DACA bill, before being corrected by Republicans about what she was actually suggesting."
https://twitter.com/mj_lee/status/950799402356142080,"Trump explains his definition of a ""clean DACA bill: ""A clean bill is a bill of DACA... and we also take care of security."""
https://twitter.com/marceelias/status/1068910336009490433?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1068910336009490433&amp;ref_url=https%3A%2F%2Fwww.jsonline.com%2Fstory%2Fnews%2Fpolitics%2F2018%2F12%2F01%2Flawsuit-looms-over-proposed-limit-early-voting-wisconsin%2F2174110002%2F,"We sued Wisconsin over their ID law in 2016.  We sued again when Wisconsin failed to hold special elections. If the GOP thinks they can disenfranchise voters by cutting early voting without a fight, they are wrong."
https://twitter.com/sakeriver/status/1017079423546212352,"Today as I was walking home after my run I saw a large lemon rolling down the hill. It kept rolling for about a quarter mile. And now you can see it, too."
https://twitter.com/katerbland/status/1000011546108596229,"Bail was $1M cash or $10M bond. He paid with a cashiers check (from Chase?? what a detail). He’s being fitted for an ankle monitor, he must stay within only New York and Connecticut."
https://twitter.com/byrdinator/status/970771712970240005,I am still confused about who exactly Sam Nunberg is
https://twitter.com/CommSec/status/1032447492430823427?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1032447492430823427&amp;ref_url=https%3A%2F%2Fwww.theguardian.com%2Faustralia-news%2Flive%2F2018%2Faug%2F23%2Fturnbull-dutton-liberal-canberra-chaos-spill,"Leadership uncertainty in Canberra is driving Aussie dollar weakness, "
https://twitter.com/CNORichardson/status/899723986908655620,"2 clarify Re: possibility of cyber intrusion or sabotage, no indications right now...but review will consider all possibilities"
https://twitter.com/jjmacnab/status/868875215115354112,"I keep reading about how inconsistent the Portland train killer's beliefs were, making him a bad case study. I disagree."
https://twitter.com/BraddJaffy/status/879372500253257728,Trump statement on travel ban
https://twitter.com/DavidNakamura/status/879400899176779776,There will be no reporter questions at Trump-Modi summit of world's two largest democracies. Spicer won't say which side objected to ?s.
https://twitter.com/realDonaldTrump/status/890197095151546369,....victory and cannot be burdened with the tremendous medical costs and disruption that transgender in the military would entail. Thank you
https://twitter.com/rachaelmbade/status/890199269407412224,"Only, Trump is taking this MUCH further than House, which is debating Pentagon paying for sex changes. NOT an outright transgender troop BAN"
https://twitter.com/benjaminwittes/status/864230521638924288,"This story is nauseating. You might have to work with natsec people to understand how bad it is, but it's horrible. Really really bad."
https://twitter.com/realDonaldTrump/status/894878812063846400,"I will be holding a major briefing on the Opioid crisis, a major problem for our country, today at 3:00 P.M. in Bedminster, N.J."
https://twitter.com/realDonaldTrump/status/1075397797929775105,"We have defeated ISIS in Syria, my only reason for being there during the Trump Presidency."
https://twitter.com/JohnFPfaff/status/1075387095269720065?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet,"Just a reminder that state legislatures—the places that hold 90% of the nation’s prisoners and far more of its jail detainees, probationers, etc.—have been passing bipartisan bills aimed at reducing punishment for almost a decade now.

The Feds are not the country."
https://twitter.com/NBCOlympics/status/1160717847636729857?s=20,"You already know we had to get the slo-mo for y'all...

Look at the HEIGHT on "
https://twitter.com/realDonaldTrump/status/1173216300287635456,"Now the Radical Left Democrats and their Partner, the LameStream Media, are after Brett Kavanaugh again, talking loudly of their favorite word, impeachment. He is an innocent man who has been treated HORRIBLY. Such lies about him. They want to scare him into turning Liberal!"
https://twitter.com/realDonaldTrump/status/857557522584088576?,The Democrats want to shut government if we don't bail out Puerto Rico and give billions to their insurance companies for OCare failure. NO!
https://twitter.com/HallieJackson/status/869982487757377540,"Of the ""mincing no words"" school of thought: "
https://twitter.com/mikeseidel/status/993976662260944897,"Pollen Bomb!  Eric Henderson wondered what would happen if he tapped a pollen-laden tree with his backhoe in Millville, NJ.  His wife Jennifer grabbed the video.  Makes you want to sneeze!
"
https://twitter.com/realDonaldTrump/status/873120139222306817,"Despite so many false statements and lies, total and complete vindication...and WOW, Comey is a leaker!"
https://twitter.com/PhilipRucker/status/875166972614516737,A source sent me RNC/Trump talking points for Repubs seeking to discredit tonight’s WaPo scoop on Mueller investigating Trump obstruction —>
https://twitter.com/realDonaldTrump/status/875305788708974592,"They made up a phony collusion with the Russians story, found zero proof, so now they go for obstruction of justice on the phony story. Nice"
https://twitter.com/realDonaldTrump/status/881503147168071680,#
https://twitter.com/JoshieDtwink/status/1033400180647882752?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1033400180647882752&amp;ref_url=https%3A%2F%2Ftwitter.com%2FJoshieDtwink%2Fstatus%2F1033400180647882752,Petitioning to get Azealia Banks’ letter to Elon Musk archived in the Library of Congress
https://twitter.com/realDonaldTrump/status/1060949297900834816,"Rick Scott was up by 50,000+ votes on Election Day, now they “found” many votes and he is only up 15,000 votes. “The Broward Effect.” How come they never find Republican votes?"
https://twitter.com/InStyle/status/1060659987347881985,It's the end of an era! 
https://twitter.com/bartongellman/status/872104522910507009,1/ About 
https://twitter.com/realDonaldTrump/status/991992302267785216,"Mr. Cohen, an attorney, received a monthly retainer, not from the campaign and having nothing to do with the campaign, from which he entered into, through reimbursement, a private contract between two parties, known as a non-disclosure agreement, or NDA. These agreements are....."
https://twitter.com/bradplumer/status/991679703353319425,Saw a duck with a bunch of ducklings wandering lost around downtown DC this morning. A group of people decided to huddle around the ducks and protect them as they crossed the roads. 
https://twitter.com/ddale8/status/969264774184820738,"To recap:
- No tariff announcement on schedule issued at 9 PM
- Trump says he wants to announce tariff today, sending officials on mad scramble
- Senior officials say the policy isn't ready, there'll be no announcement today, just a ""listening session""
- Trump announces tariff"
https://twitter.com/ericawerner/status/969280133814280194,"Thune on tariff decision: 

“There is no standard operating practice with this administration. Every day is a new adventure for us.”"
https://twitter.com/JayseDavid/status/851223662976004096,@
https://twitter.com/united/status/851471781827420160,United CEO response to United Express Flight 3411.
https://twitter.com/GovChristie/status/881882675656744964,NJ beaches are open in 119 of our our 130 miles of coastline. Come and enjoy them--but use sunscreen and hydrate!
https://twitter.com/realDonaldTrump/status/881875263700783104,If we can help little 
https://twitter.com/AntonyTiernan/status/1167330826289332225,‘Abortion hope’! Here’s how a national newspaper wrote about ‘gay genes’ in 1993. The article repulsed me so much I cut it out and have kept it to this date. It reminds me to be proud about who I am! 
https://twitter.com/realDonaldTrump/status/994587349718847489,The highly anticipated meeting between Kim Jong Un and myself will take place in Singapore on June 12th. We will both try to make it a very special moment for World Peace!
https://twitter.com/GeorgeWeahOff/status/1174262960249851914?ref_src=twsrc%5Egoogle%7Ctwcamp%5Enews%7Ctwgr%5Etweet,My prayers go out to the families of the children that died last night in Paynesville City; as a result of a deadly fire that engulfed their school building. This is a tough time for the families of the victims and all of Liberia. Deepest condolences go out to the bereaved
https://twitter.com/EricHolthaus/status/900756317458931712,"Since 1999, the Texas coastline has added ~1.5M people.
The port in Corpus Christi is now the country's 4th largest. This is what it ships:"
https://twitter.com/EricHolthaus/status/900770084544585728,Hurricane 
https://twitter.com/KTVBJoe/status/1025377752583532544,#
